city,year,weekofyear,total_cases
sj,2008,18,6.23064833005894
sj,2008,19,6.993320235756386
sj,2008,20,7.798821218074656
sj,2008,21,7.822003929273085
sj,2008,22,8.673870333988212
sj,2008,23,9.464440078585463
sj,2008,24,10.52416502946955
sj,2008,25,12.096267190569746
sj,2008,26,13.81728880157171
sj,2008,27,15.410609037328095
sj,2008,28,17.92220039292731
sj,2008,29,19.630648330058943
sj,2008,30,22.050294695481337
sj,2008,31,24.388605108055014
sj,2008,32,27.898624754420435
sj,2008,33,30.460117878192534
sj,2008,34,33.68133595284872
sj,2008,35,37.01532416502947
sj,2008,36,41.26994106090373
sj,2008,37,46.590569744597246
sj,2008,38,51.65265225933202
sj,2008,39,55.80235756385069
sj,2008,40,58.22554027504912
sj,2008,41,60.80667976424361
sj,2008,42,63.854616895874265
sj,2008,43,65.0278978388998
sj,2008,44,64.09076620825148
sj,2008,45,61.78821218074657
sj,2008,46,61.49233791748527
sj,2008,47,61.322200392927314
sj,2008,48,59.89862475442043
sj,2008,49,57.62318271119843
sj,2008,50,52.44204322200393
sj,2008,51,48.997249508840866
sj,2008,52,46.29351669941062
sj,2009,1,42.28133595284873
sj,2009,2,44.211394891945
sj,2009,3,43.37249508840865
sj,2009,4,44.7434184675835
sj,2009,5,44.22514734774067
sj,2009,6,43.53123772102162
sj,2009,7,42.347347740667985
sj,2009,8,39.805108055009825
sj,2009,9,37.153241650294696
sj,2009,10,34.64479371316307
sj,2009,11,33.34302554027505
sj,2009,12,31.082907662082516
sj,2009,13,29.45343811394892
sj,2009,14,27.657367387033403
sj,2009,15,24.792927308447936
sj,2009,16,22.851080550098235
sj,2009,17,21.054223968565815
sj,2009,18,19.860117878192533
sj,2009,19,18.907662082514737
sj,2009,20,17.212966601178785
sj,2009,21,16.208251473477407
sj,2009,22,15.447151277013752
sj,2009,23,15.548919449901767
sj,2009,24,16.363064833005893
sj,2009,25,17.051080550098234
sj,2009,26,18.041257367387033
sj,2009,27,19.7335952848723
sj,2009,28,21.212180746561888
sj,2009,29,23.880943025540276
sj,2009,30,27.65972495088409
sj,2009,31,30.393320235756388
sj,2009,32,34.79253438113949
sj,2009,33,39.237328094302555
sj,2009,34,44.260510805500985
sj,2009,35,48.70962671905698
sj,2009,36,55.08212180746562
sj,2009,37,62.46954813359528
sj,2009,38,70.30019646365423
sj,2009,39,79.24047151277014
sj,2009,40,88.09155206286837
sj,2009,41,98.65776031434186
sj,2009,42,112.72927308447937
sj,2009,43,134.56777996070727
sj,2009,44,158.82829076620826
sj,2009,45,169.87897838899804
sj,2009,46,168.44282907662082
sj,2009,47,161.1178781925344
sj,2009,48,149.6345776031434
sj,2009,49,138.34695481335953
sj,2009,50,123.28330058939098
sj,2009,51,106.91119842829077
sj,2009,52,91.61886051080552
sj,2010,53,80.70019646365424
sj,2010,1,75.35049115913557
sj,2010,2,74.0852652259332
sj,2010,3,73.04204322200394
sj,2010,4,69.98428290766209
sj,2010,5,68.20039292730846
sj,2010,6,66.18781925343812
sj,2010,7,62.570530451866404
sj,2010,8,60.06051080550098
sj,2010,9,58.25697445972496
sj,2010,10,57.99607072691553
sj,2010,11,57.405108055009826
sj,2010,12,57.14499017681729
sj,2010,13,54.29666011787819
sj,2010,14,54.21768172888015
sj,2010,15,54.40275049115914
sj,2010,16,53.4204322200393
sj,2010,17,51.94223968565816
sj,2010,18,51.70923379174853
sj,2010,19,53.74577603143419
sj,2010,20,58.730451866404714
sj,2010,21,56.9532416502947
sj,2010,22,60.55088408644401
sj,2010,23,62.0483300589391
sj,2010,24,69.52809430255404
sj,2010,25,75.54420432220039
sj,2010,26,78.7713163064833
sj,2010,27,75.649115913556
sj,2010,28,77.84793713163066
sj,2010,29,84.63732809430256
sj,2010,30,84.25933202357564
sj,2010,31,81.59685658153242
sj,2010,32,79.13791748526523
sj,2010,33,82.40589390962671
sj,2010,34,86.70412573673872
sj,2010,35,88.6581532416503
sj,2010,36,88.0278978388998
sj,2010,37,91.2565815324165
sj,2010,38,94.65933202357564
sj,2010,39,97.1072691552063
sj,2010,40,97.56463654223968
sj,2010,41,98.05736738703341
sj,2010,42,98.73280943025541
sj,2010,43,96.8966601178782
sj,2010,44,89.66208251473478
sj,2010,45,82.30962671905698
sj,2010,46,76.49548133595286
sj,2010,47,73.72141453831041
sj,2010,48,70.25304518664048
sj,2010,49,64.02829076620826
sj,2010,50,58.54616895874263
sj,2010,51,55.502554027504914
sj,2011,52,53.80785854616896
sj,2011,1,53.21532416502947
sj,2011,2,49.35599214145383
sj,2011,3,48.36110019646365
sj,2011,4,46.835363457760316
sj,2011,5,45.72573673870335
sj,2011,6,44.163457760314344
sj,2011,7,42.33948919449902
sj,2011,8,40.812966601178786
sj,2011,9,39.14970530451867
sj,2011,10,38.63497053045187
sj,2011,11,36.73241650294696
sj,2011,12,35.942632612966605
sj,2011,13,35.123772102161105
sj,2011,14,34.290766208251476
sj,2011,15,33.142239685658154
sj,2011,16,33.76699410609038
sj,2011,17,33.877013752455795
sj,2011,18,32.955992141453834
sj,2011,19,32.878978388998036
sj,2011,20,34.38349705304519
sj,2011,21,34.91001964636543
sj,2011,22,34.88644400785854
sj,2011,23,36.28408644400786
sj,2011,24,37.138310412573674
sj,2011,25,38.31905697445973
sj,2011,26,38.747347740667976
sj,2011,27,40.608644400785856
sj,2011,28,43.84440078585462
sj,2011,29,42.97799607072692
sj,2011,30,43.970923379174856
sj,2011,31,46.084479371316306
sj,2011,32,50.170530451866405
sj,2011,33,47.631041257367386
sj,2011,34,48.309233791748525
sj,2011,35,52.41453831041258
sj,2011,36,51.649115913555995
sj,2011,37,53.512377210216115
sj,2011,38,57.311984282907666
sj,2011,39,59.68330058939097
sj,2011,40,58.720628683693526
sj,2011,41,58.6286836935167
sj,2011,42,61.94970530451867
sj,2011,43,60.074263261296664
sj,2011,44,61.94302554027506
sj,2011,45,61.67072691552063
sj,2011,46,63.4392927308448
sj,2011,47,63.372888015717095
sj,2011,48,62.90766208251474
sj,2011,49,62.808644400785866
sj,2011,50,61.89351669941061
sj,2011,51,60.122986247544205
sj,2012,52,56.5524557956778
sj,2012,1,56.72416502946955
sj,2012,2,53.59607072691552
sj,2012,3,52.738310412573675
sj,2012,4,50.970923379174856
sj,2012,5,49.48094302554028
sj,2012,6,47.97956777996071
sj,2012,7,46.14145383104126
sj,2012,8,44.668369351669945
sj,2012,9,43.1139489194499
sj,2012,10,41.59449901768173
sj,2012,11,39.8860510805501
sj,2012,12,38.400392927308445
sj,2012,13,37.62632612966601
sj,2012,14,36.9434184675835
sj,2012,15,35.97681728880158
sj,2012,16,35.825540275049114
sj,2012,17,36.286836935166995
sj,2012,18,36.98742632612967
sj,2012,19,36.44518664047151
sj,2012,20,36.275834970530454
sj,2012,21,38.49390962671906
sj,2012,22,39.69626719056974
sj,2012,23,42.04243614931238
sj,2012,24,42.254616895874264
sj,2012,25,47.93948919449902
sj,2012,26,51.979174852652264
sj,2012,27,55.94616895874263
sj,2012,28,59.15795677799608
sj,2012,29,61.36070726915521
sj,2012,30,62.42986247544205
sj,2012,31,65.24204322200393
sj,2012,32,67.55756385068763
sj,2012,33,70.74695481335954
sj,2012,34,76.13163064833006
sj,2012,35,79.88919449901769
sj,2012,36,85.69469548133596
sj,2012,37,87.36188605108055
sj,2012,38,98.22436149312378
sj,2012,39,109.9834970530452
sj,2012,40,126.94302554027504
sj,2012,41,148.21571709233794
sj,2012,42,164.38978388998035
sj,2012,43,169.38585461689587
sj,2012,44,166.2294695481336
sj,2012,45,160.05383104125735
sj,2012,46,152.1760314341847
sj,2012,47,142.90687622789784
sj,2012,48,134.72927308447936
sj,2012,49,122.62475442043223
sj,2012,50,107.5335952848723
sj,2012,51,90.63811394891945
sj,2013,1,80.2204322200393
sj,2013,2,74.21532416502947
sj,2013,3,69.46129666011788
sj,2013,4,64.45265225933203
sj,2013,5,60.63497053045187
sj,2013,6,57.94616895874264
sj,2013,7,55.462082514734774
sj,2013,8,53.93713163064834
sj,2013,9,51.187819253438114
sj,2013,10,49.50726915520629
sj,2013,11,47.86326129666013
sj,2013,12,45.857760314341846
sj,2013,13,43.21571709233792
sj,2013,14,40.496267190569746
sj,2013,15,39.0385068762279
sj,2013,16,38.95127701375246
sj,2013,17,38.58506876227898
iq,2010,26,2.5860566448801743
iq,2010,27,1.8152505446623095
iq,2010,28,1.7620915032679738
iq,2010,29,1.9433551198257082
iq,2010,30,2.129411764705883
iq,2010,31,1.8122004357298476
iq,2010,32,0.9908496732026144
iq,2010,33,1.965141612200436
iq,2010,34,1.0305010893246187
iq,2010,35,0.9799564270152505
iq,2010,36,1.7925925925925927
iq,2010,37,2.1616557734204793
iq,2010,38,2.173420479302832
iq,2010,39,2.1782135076252724
iq,2010,40,2.18562091503268
iq,2010,41,2.114161220043573
iq,2010,42,2.3472766884531593
iq,2010,43,1.5869281045751635
iq,2010,44,2.7259259259259263
iq,2010,45,2.856644880174292
iq,2010,46,3.2
iq,2010,47,3.5586056644880175
iq,2010,48,4.271023965141612
iq,2010,49,4.2
iq,2010,50,4.115904139433551
iq,2010,51,3.8762527233115467
iq,2011,52,3.6845315904139433
iq,2011,1,3.5315904139433556
iq,2011,2,3.4135076252723313
iq,2011,3,3.3420479302832247
iq,2011,4,2.39041394335512
iq,2011,5,2.6113289760348586
iq,2011,6,2.251851851851852
iq,2011,7,2.3089324618736384
iq,2011,8,1.9638344226579523
iq,2011,9,2.2095860566448806
iq,2011,10,2.0958605664488017
iq,2011,11,2.96644880174292
iq,2011,12,2.9167755991285405
iq,2011,13,2.7206971677559917
iq,2011,14,3.0178649237472768
iq,2011,15,2.8562091503267975
iq,2011,16,2.9294117647058826
iq,2011,17,2.7664488017429196
iq,2011,18,2.8004357298474947
iq,2011,19,2.9150326797385624
iq,2011,20,2.8318082788671024
iq,2011,21,2.8540305010893245
iq,2011,22,1.0871459694989107
iq,2011,23,1.803921568627451
iq,2011,24,1.962091503267974
iq,2011,25,1.0823529411764707
iq,2011,26,0.9272331154684097
iq,2011,27,0.922875816993464
iq,2011,28,0.9381263616557733
iq,2011,29,1.8736383442265796
iq,2011,30,2.5237472766884532
iq,2011,31,3.32723311546841
iq,2011,32,3.304575163398693
iq,2011,33,3.306318082788671
iq,2011,34,4.286274509803922
iq,2011,35,4.345969498910676
iq,2011,36,4.314596949891068
iq,2011,37,4.4601307189542485
iq,2011,38,3.84400871459695
iq,2011,39,2.8644880174291942
iq,2011,40,2.045751633986928
iq,2011,41,2.193028322440087
iq,2011,42,2.249673202614379
iq,2011,43,2.291503267973856
iq,2011,44,2.4339869281045754
iq,2011,45,2.4540305010893246
iq,2011,46,2.454466230936819
iq,2011,47,2.1864923747276688
iq,2011,48,2.2514161220043576
iq,2011,49,3.2474945533769066
iq,2011,50,2.8601307189542484
iq,2011,51,2.942483660130719
iq,2012,52,2.865795206971678
iq,2012,1,2.7681917211328977
iq,2012,2,3.5167755991285405
iq,2012,3,2.677995642701525
iq,2012,4,2.6697167755991287
iq,2012,5,2.666230936819172
iq,2012,6,2.469716775599129
iq,2012,7,2.491067538126362
iq,2012,8,2.4971677559912857
iq,2012,9,2.3790849673202614
iq,2012,10,2.4601307189542485
iq,2012,11,2.358169934640523
iq,2012,12,1.5267973856209152
iq,2012,13,1.5960784313725491
iq,2012,14,1.5616557734204795
iq,2012,15,1.6191721132897605
iq,2012,16,1.6710239651416123
iq,2012,17,2.501525054466231
iq,2012,18,2.6488017429193897
iq,2012,19,2.7546840958605667
iq,2012,20,2.647494553376906
iq,2012,21,1.733769063180828
iq,2012,22,1.7703703703703706
iq,2012,23,1.6980392156862747
iq,2012,24,1.5751633986928106
iq,2012,25,1.5568627450980392
iq,2012,26,1.606100217864924
iq,2012,27,0.8082788671023965
iq,2012,28,0.8095860566448803
iq,2012,29,0.860566448801743
iq,2012,30,0.774727668845316
iq,2012,31,0.844880174291939
iq,2012,32,0.8932461873638344
iq,2012,33,0.9498910675381265
iq,2012,34,1.1877995642701524
iq,2012,35,1.236165577342048
iq,2012,36,1.2492374727668847
iq,2012,37,2.1089324618736383
iq,2012,38,2.2827886710239653
iq,2012,39,2.2980392156862743
iq,2012,40,2.538126361655774
iq,2012,41,3.091067538126362
iq,2012,42,3.947712418300654
iq,2012,43,5.62483660130719
iq,2012,44,5.935947712418301
iq,2012,45,6.836165577342049
iq,2012,46,7.19607843137255
iq,2012,47,7.862309368191722
iq,2012,48,7.4183006535947715
iq,2012,49,7.608278867102397
iq,2012,50,7.266230936819172
iq,2012,51,5.768627450980393
iq,2013,1,5.737254901960785
iq,2013,2,7.164705882352942
iq,2013,3,8.413943355119825
iq,2013,4,8.527668845315905
iq,2013,5,7.115904139433551
iq,2013,6,7.397385620915033
iq,2013,7,6.778649237472768
iq,2013,8,6.23442265795207
iq,2013,9,5.966884531590415
iq,2013,10,5.953812636165578
iq,2013,11,5.500653594771242
iq,2013,12,5.366884531590415
iq,2013,13,5.973856209150327
iq,2013,14,5.6196078431372545
iq,2013,15,5.579084967320261
iq,2013,16,4.682352941176471
iq,2013,17,4.443137254901961
iq,2013,18,4.566884531590414
iq,2013,19,3.485838779956427
iq,2013,20,2.4366013071895427
iq,2013,21,2.7886710239651418
iq,2013,22,2.3054466230936823
iq,2013,23,2.295424836601307
iq,2013,24,2.046187363834423
iq,2013,25,1.9159041394335512
iq,2013,26,1.9224400871459695
